Recipe Name,Pinterest URL,Recipe URL
Vanilla Bean Sugar Cookie Bars,https://www.pinterest.com/pin/1022880134128482737/,https://www.recipesloop.com/christmas-vanilla-bean-sugar-cookie-bars-with-sprinkles/
Christmas Frosted Gingerbread Cookie Cups,https://www.pinterest.com/pin/1022880134128450582/,https://www.recipesloop.com/christmas-frosted-gingerbread-cookie-cups-recipe/
Toasted Almond Snowball Cookies,https://www.pinterest.com/pin/1022880134128442796/,https://www.recipesloop.com/christmas-rainbow-holiday-cupcakes-with-sprinkles/

